message,attributes,tags,timestamp
"[32minfo[39m: 🔄 جاري مزامنة Pieces من Activepieces... {""timestamp"":""2026-02-22T11:55:50.513Z""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T11:55:51.099295096Z
Signing in to Activepieces...,"{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T11:55:51.099302404Z
"Signed in successfully, token cached","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T11:55:51.099309124Z
Starting Container,"{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T11:55:51.137293168Z
"[32minfo[39m: ✅ تم تحميل 624 piece {""timestamp"":""2026-02-22T11:55:52.240Z""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T11:55:52.244395059Z
"[32minfo[39m: 🚀 Backend running on port 8080 {""timestamp"":""2026-02-22T11:55:52.243Z""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T11:55:52.246297430Z
"[32minfo[39m: 📡 Activepieces: https://hearty-cat-production.up.railway.app {""timestamp"":""2026-02-22T11:55:52.243Z""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T11:55:52.246305507Z
"[32minfo[39m: 🤖 AI: Groq — llama-3.3-70b-versatile {""timestamp"":""2026-02-22T11:55:52.244Z""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T11:55:52.246310596Z
"[32minfo[39m: GET / {""ip"":""104.156.91.23"",""timestamp"":""2026-02-22T12:06:51.567Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T12:06:53.085530482Z
"[32minfo[39m: POST /api/chat/generate {""ip"":""104.156.91.23"",""timestamp"":""2026-02-22T12:06:54.672Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T12:06:54.953826283Z
"[32minfo[39m: 🤖 Generating flow... لما يجي إيميل فيه ""حجز"" أضفه قوقل شيت وأرسل تأكيد {""sessionId"":""76928416-6b21-4565-b5d5-6eedaeb358ce"",""timestamp"":""2026-02-22T12:06:54.673Z""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T12:06:54.953831386Z
"[32minfo[39m: POST /api/connections/check {""ip"":""104.156.91.23"",""timestamp"":""2026-02-22T12:06:56.865Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T12:06:56.924452731Z
"[32minfo[39m: POST /api/chat/deploy {""ip"":""104.156.91.23"",""timestamp"":""2026-02-22T12:06:58.561Z"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T12:06:59.100541165Z
"[32minfo[39m: 🚀 Deploying flow... {""autoPublish"":true,""name"":""إضافة حجز إلى قوقل شيت وتأكيد"",""timestamp"":""2026-02-22T12:06:58.562Z""}","{""level"":""info""}","{""project"":""68e263d9-cd0d-4590-9e82-9c7dd198ad7b"",""environment"":""fd402da8-f8b3-4eea-b15b-b412bafcdd3e"",""service"":""4b69589c-8c17-490e-88b1-f202010b56c1"",""deployment"":""57d3785c-ed56-412c-b796-cfe28095522e"",""replica"":""53384058-272e-482a-8084-c24b79080d6c""}",2026-02-22T12:06:59.100547664Z
